dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP6_CanESM5_r8i1p2f1,3.0,1.4687999999999999,3.43,0.176256,CMIP6,r8i1p2f1,CanESM5
CMIP6_CanESM5_r9i1p1f1,2.87,1.45152,3.37,0.191808,CMIP6,r9i1p1f1,CanESM5
CMIP6_CanESM5_r9i1p2f1,2.95,1.45152,3.39,0.171072,CMIP6,r9i1p2f1,CanESM5
CMIP6_E3SM-1-1_r1i1p1f1,3.46,1.43424,4.61,0.128736,CMIP6,r1i1p1f1,E3SM-1-1
CMIP6_EC-Earth3-CC_r1i1p1f1,2.83,1.43424,1.72,0.0396576,CMIP6,r1i1p1f1,EC-Earth3-CC
CMIP6_EC-Earth3-Veg-LR_r1i1p1f1,3.4,1.41696,1.93,0.0230688,CMIP6,r1i1p1f1,EC-Earth3-Veg-LR
CMIP6_EC-Earth3-Veg-LR_r2i1p1f1,4.32,1.45152,3.83,0.144288,CMIP6,r2i1p1f1,EC-Earth3-Veg-LR
CMIP6_EC-Earth3-Veg-LR_r3i1p1f1,5.22,1.4601600000000001,4.06,0.232416,CMIP6,r3i1p1f1,EC-Earth3-Veg-LR
CMIP6_EC-Earth3-Veg_r10i1p1f1,2.85,1.45152,1.98,0.0376704,CMIP6,r10i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r12i1p1f1,3.32,1.45152,2.83,0.106272,CMIP6,r12i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r14i1p1f1,2.95,1.44288,2.29,0.044755199999999995,CMIP6,r14i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r1i1p1f1,2.92,1.43424,2.57,0.079488,CMIP6,r1i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r2i1p1f1,2.93,1.43424,2.48,0.073872,CMIP6,r2i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r3i1p1f1,3.27,1.4601600000000001,2.75,0.09936,CMIP6,r3i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r4i1p1f1,3.71,1.44288,3.68,0.141696,CMIP6,r4i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3-Veg_r6i1p1f1,3.75,1.4601600000000001,3.62,0.158976,CMIP6,r6i1p1f1,EC-Earth3-Veg
CMIP6_EC-Earth3_r101i1p1f1,2.95,1.44288,2.37,0.08639999999999999,CMIP6,r101i1p1f1,EC-Earth3
